web-scraper-order,web-scraper-start-url,house-link,house-link-href,title,rent-cost,house-area,location,bedroom,bathroom
"1716832615-31","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Chuyên cho thuê Villa - Nhà phố - Mặt bằng khu Thảo Điền, DT 100 - 1000m2, giá: 28tr - 200tr/tháng","60 triệu/tháng","325 m²","Quận 2, Hồ Chí Minh","",""
"1716832615-32","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Cho thuê nhà 4 tầng ngõ đặng thai mai.. DT40m. 4 Tầng. 3 ngủ ! Mỗi tầng 1 ngủ 1 wc .","20 triệu/tháng","40 m²","Tây Hồ, Hà Nội","",""
"1716832615-33","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Cho thuê nhà 3 tầng rộng 4 phòng ngủ phố 8/3 giá 12,5 tr","12,5 triệu/tháng","60 m²","Hai Bà Trưng, Hà Nội","4","3"
"1716832615-34","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Cho thuê nhà riêng trong ngõ nhỏ","15 triệu/tháng","45 m²","Tây Hồ, Hà Nội","4","4"
"1716832615-35","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Cho thuê nhà nguyên căn hẻm 265 Nguyễn Thị Định Quận 2. 3PN 3WC sân trước giá 10 triệu, 0903 034 ***","10 triệu/tháng","100 m²","Quận 2, Hồ Chí Minh","3","3"
"1716832615-36","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Cho thuê nhà ngõ oto Khương Đình -Thanh Xuân DT 40 m2 - 4 tầng -Giá 9 Triệu (ctl) - ở, KD, VP","9 triệu/tháng","40 m²","Thanh Xuân, Hà Nội","3","3"
"1716832615-37","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Cho thuê nhà nguyên căn 4 phòng ngủ full nội thất đẹp Thanh Khê, Đà Nẵng giá chỉ 18tr/ tháng","Giá thỏa thuận","80 m²","Thanh Khê, Đà Nẵng","4","5"
"1716832615-38","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Nhà hẻm 4m cho thuê 5mx13m 3 phòng ngủ Lê Đình Cẩn, Bình Tân","8 triệu/tháng","130 m²","Bình Tân, Hồ Chí Minh","3","2"
"1716832619-39","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Nhà mới tinh lô góc Trung Kính đôi DT: 95m2 x 7T nổi + 1 hầm, MT 7m. Thông sàn thang máy, 79tr/th","79 triệu/tháng","95 m²","Cầu Giấy, Hà Nội","",""
"1716832619-40","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Cho thuê nhà lâu dài tại số nhà 54, ngõ 84 - Chùa Láng  - an ninh tốt - ngõ rộng - ô tô đỗ cửa","35 triệu/tháng","65 m²","Đống Đa, Hà Nội","",""
